module,callable,source_path,line,exported,pod_named,family,disposition,profile,scenario_ids,status
Date::Manip::DM5,UnixDate,lib/Date/Manip/DM5.pm,1688,yes,yes,FORMAT,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Delta_Format,lib/Date/Manip/DM5.pm,1868,yes,yes,DELTA,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,ParseRecur,lib/Date/Manip/DM5.pm,2011,yes,yes,RECUR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_GetPrev,lib/Date/Manip/DM5.pm,2877,yes,yes,NAVIGATE,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_GetNext,lib/Date/Manip/DM5.pm,2942,yes,yes,NAVIGATE,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_IsHoliday,lib/Date/Manip/DM5.pm,3008,yes,yes,BUSINESS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Events_List,lib/Date/Manip/DM5.pm,3025,yes,yes,EVENTS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_SetTime,lib/Date/Manip/DM5.pm,3100,yes,yes,FIELDS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_SetDateField,lib/Date/Manip/DM5.pm,3119,yes,yes,FIELDS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DaysInMonth,lib/Date/Manip/DM5.pm,3166,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DayOfWeek,lib/Date/Manip/DM5.pm,3175,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_SecsSince1970,lib/Date/Manip/DM5.pm,3189,yes,yes,EPOCH,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_SecsSince1970GMT,lib/Date/Manip/DM5.pm,3200,yes,yes,EPOCH,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DaysSince1BC,lib/Date/Manip/DM5.pm,3221,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DayOfYear,lib/Date/Manip/DM5.pm,3253,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DaysInYear,lib/Date/Manip/DM5.pm,3264,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_WeekOfYear,lib/Date/Manip/DM5.pm,3272,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_LeapYear,lib/Date/Manip/DM5.pm,3297,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_DaySuffix,lib/Date/Manip/DM5.pm,3307,yes,yes,FORMAT,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_ConvTZ,lib/Date/Manip/DM5.pm,3314,yes,yes,ZONE,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_TimeZone,lib/Date/Manip/DM5.pm,3418,yes,yes,ZONE,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_IsWorkDay,lib/Date/Manip/DM5.pm,3571,yes,yes,BUSINESS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_NextWorkDay,lib/Date/Manip/DM5.pm,3607,yes,yes,BUSINESS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_PrevWorkDay,lib/Date/Manip/DM5.pm,3649,yes,yes,BUSINESS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_NearestWorkDay,lib/Date/Manip/DM5.pm,3683,yes,yes,BUSINESS,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,Date_NthDayOfYear,lib/Date/Manip/DM5.pm,3713,yes,yes,CALENDAR,public-candidate,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_InitHash,lib/Date/Manip/DM5.pm,3772,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_InitLists,lib/Date/Manip/DM5.pm,3834,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_InitStrings,lib/Date/Manip/DM5.pm,3916,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Regexp,lib/Date/Manip/DM5.pm,4017,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Delta_Normalize,lib/Date/Manip/DM5.pm,4103,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Delta_Split,lib/Date/Manip/DM5.pm,4207,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_ParseTime,lib/Date/Manip/DM5.pm,4225,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Join,lib/Date/Manip/DM5.pm,4244,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_CheckTime,lib/Date/Manip/DM5.pm,4278,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Recur_Split,lib/Date/Manip/DM5.pm,4310,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Split,lib/Date/Manip/DM5.pm,4338,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Easter,lib/Date/Manip/DM5.pm,4401,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Recur_WoM,lib/Date/Manip/DM5.pm,4421,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Recur,lib/Date/Manip/DM5.pm,4509,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_RecurSetTime,lib/Date/Manip/DM5.pm,4545,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_DateCalc_DateDate,lib/Date/Manip/DM5.pm,4605,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_DateCalc_DeltaDelta,lib/Date/Manip/DM5.pm,4791,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_DateCalc_DateDelta,lib/Date/Manip/DM5.pm,4809,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_UpdateHolidays,lib/Date/Manip/DM5.pm,4963,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_SetConfigVariable,lib/Date/Manip/DM5.pm,5007,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,EraseHolidays,lib/Date/Manip/DM5.pm,5047,no,yes,CONFIG,unexported-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Events_Calc,lib/Date/Manip/DM5.pm,5064,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Events_ParseRaw,lib/Date/Manip/DM5.pm,5168,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_InitFile,lib/Date/Manip/DM5.pm,5283,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_TimeCheck,lib/Date/Manip/DM5.pm,5340,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_DateCheck,lib/Date/Manip/DM5.pm,5398,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_FixYear,lib/Date/Manip/DM5.pm,5442,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_NthWeekOfYear,lib/Date/Manip/DM5.pm,5487,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Char_8Bit,lib/Date/Manip/DM5.pm,5534,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_English,lib/Date/Manip/DM5.pm,5843,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Italian,lib/Date/Manip/DM5.pm,5915,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_French,lib/Date/Manip/DM5.pm,5986,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Romanian,lib/Date/Manip/DM5.pm,6063,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Swedish,lib/Date/Manip/DM5.pm,6180,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_German,lib/Date/Manip/DM5.pm,6264,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Dutch,lib/Date/Manip/DM5.pm,6353,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Polish,lib/Date/Manip/DM5.pm,6445,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Spanish,lib/Date/Manip/DM5.pm,6544,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Portuguese,lib/Date/Manip/DM5.pm,6627,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Russian,lib/Date/Manip/DM5.pm,6723,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Turkish,lib/Date/Manip/DM5.pm,6911,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Danish,lib/Date/Manip/DM5.pm,7022,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_Date_Init_Catalan,lib/Date/Manip/DM5.pm,7101,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_ModuloAddition,lib/Date/Manip/DM5.pm,7207,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_IsInt,lib/Date/Manip/DM5.pm,7238,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_CleanFile,lib/Date/Manip/DM5.pm,7253,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_ExpandTilde,lib/Date/Manip/DM5.pm,7274,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_FullFilePath,lib/Date/Manip/DM5.pm,7305,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_CheckFilePath,lib/Date/Manip/DM5.pm,7329,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_FixPath,lib/Date/Manip/DM5.pm,7382,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_SearchPath,lib/Date/Manip/DM5.pm,7431,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM5,_ReturnList,lib/Date/Manip/DM5.pm,7454,no,no,LEGACY,indirect-behavior-review,dm5-compatibility,,discovered-not-specified
Date::Manip::DM6,DateManipVersion,lib/Date/Manip/DM6.pm,81,yes,yes,META,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_Init,lib/Date/Manip/DM6.pm,86,yes,yes,CONFIG,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,ParseDateString,lib/Date/Manip/DM6.pm,101,yes,yes,PARSE,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,ParseDateFormat,lib/Date/Manip/DM6.pm,110,yes,yes,PARSE,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,ParseDate,lib/Date/Manip/DM6.pm,119,yes,yes,PARSE,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,ParseDateDelta,lib/Date/Manip/DM6.pm,153,yes,yes,DELTA,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,UnixDate,lib/Date/Manip/DM6.pm,200,yes,yes,FORMAT,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Delta_Format,lib/Date/Manip/DM6.pm,217,yes,yes,DELTA,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,_Delta_Format_old,lib/Date/Manip/DM6.pm,258,no,no,ADAPTER,indirect-behavior-review,dm6-reference,,discovered-not-specified
Date::Manip::DM6,DateCalc,lib/Date/Manip/DM6.pm,345,yes,yes,ARITH,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_GetPrev,lib/Date/Manip/DM6.pm,480,yes,yes,NAVIGATE,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_GetNext,lib/Date/Manip/DM6.pm,512,yes,yes,NAVIGATE,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_SetTime,lib/Date/Manip/DM6.pm,544,yes,yes,FIELDS,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_SetDateField,lib/Date/Manip/DM6.pm,563,yes,yes,FIELDS,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_NextWorkDay,lib/Date/Manip/DM6.pm,574,yes,yes,BUSINESS,public-candidate,dm6-reference,,discovered-not-specified
Date::Manip::DM6,Date_PrevWorkDay,lib/Date/Manip/DM6.pm,583,yes,yes,BUSINESS,public-candidate,dm6-reference,,discovered-not-specified
